Juli 1947,Prins Willem I (1933),Oosterschelde (1933),Dordrecht (1933),Koningin Wilhelmina (1927),Koningsplaat,Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Prinses Irene,Zeemeeuw
01-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
02-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
03-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
04-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
05-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
06-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
07-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
08-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
09-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
10-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
11-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
12-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
13-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
14-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
15-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
16-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
17-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
18-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
19-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
20-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
21-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
22-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
23-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
24-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
25-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
26-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
27-07-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
28-07-1947,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
29-07-1947,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
30-07-1947,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
31-07-1947,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
