Augustus 1950,Prins Bernhard (1950),Koningin Juliana (1949),Koningin Emma (1933),Prins Hendrik (1932),Willemsdorp (1930),Dordrecht (1933),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prins Willem I (1933),Prinses Irene,Koningin Wilhelmina (1927),Zeemeeuw
01-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
02-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
03-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
04-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
05-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
06-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
07-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
08-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
09-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
10-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
11-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
12-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
13-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
14-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
15-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
16-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
17-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
18-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
19-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
20-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
21-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
22-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
23-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
24-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
25-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
26-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
27-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
28-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
29-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
30-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
31-08-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Werkplaats,Binnen
