November 1955,Prins Bernhard (1950),Koningin Juliana (1949),Koningin Wilhelmina (1927),Prins Hendrik (1932),Oosterschelde (1933),Prins Willem I (1933),Koningin Emma (1933),Zandkreek (1926),Noord-Beveland (1952),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930)
01-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
02-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
03-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
04-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
05-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
06-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
07-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
08-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
09-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
10-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
11-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
12-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
13-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
14-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
15-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
16-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
17-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
18-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
19-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
20-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Overbrenging
21-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Kruiningen-Perkpolder
22-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Kruiningen-Perkpolder
23-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Kruiningen-Perkpolder
24-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Kruiningen-Perkpolder
25-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Kruiningen-Perkpolder
26-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Kruiningen-Perkpolder
27-11-1955,Vlissingen-Breskens,Werf,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Kruiningen-Perkpolder
28-11-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Kruiningen-Perkpolder
29-11-1955,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Kruiningen-Perkpolder
30-11-1955,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Kruiningen-Perkpolder
